pr_id,pr_url,issue_id,issue_url,agent_result,agent_comment
3158,https://github.com/newrelic/node-newrelic/pull/3158,3157,https://github.com/newrelic/node-newrelic/issues/3157,Good PR,"The issue clearly describes the current problem and specifies which model identifiers need to be retained, providing detailed cross-referenced information. It is actionable and not a revert or vague request."
3139,https://github.com/newrelic/node-newrelic/pull/3139,3135,https://github.com/newrelic/node-newrelic/issues/3135,Good PR,"The issue provides clear instructions and acceptance criteria for adding support for the new API endpoint, and it is not simply a revert, a question, or a vague request."
3141,https://github.com/newrelic/node-newrelic/pull/3141,3089,https://github.com/newrelic/node-newrelic/issues/3089,Not Checked,
3132,https://github.com/newrelic/node-newrelic/pull/3132,3111,https://github.com/newrelic/node-newrelic/issues/3111,Not Checked,
3119,https://github.com/newrelic/node-newrelic/pull/3119,2890,https://github.com/newrelic/node-newrelic/issues/2890,Not Checked,
3125,https://github.com/newrelic/node-newrelic/pull/3125,3092,https://github.com/newrelic/node-newrelic/issues/3092,Not Checked,
3121,https://github.com/newrelic/node-newrelic/pull/3121,3120,https://github.com/newrelic/node-newrelic/issues/3120,Not Checked,
3110,https://github.com/newrelic/node-newrelic/pull/3110,3104,https://github.com/newrelic/node-newrelic/issues/3104,Not Checked,
3109,https://github.com/newrelic/node-newrelic/pull/3109,3107,https://github.com/newrelic/node-newrelic/issues/3107,Not Checked,
3070,https://github.com/newrelic/node-newrelic/pull/3070,3004,https://github.com/newrelic/node-newrelic/issues/3004,Not Checked,
3077,https://github.com/newrelic/node-newrelic/pull/3077,3073,https://github.com/newrelic/node-newrelic/issues/3073,Not Checked,
3057,https://github.com/newrelic/node-newrelic/pull/3057,2969,https://github.com/newrelic/node-newrelic/issues/2969,Not Checked,
3056,https://github.com/newrelic/node-newrelic/pull/3056,3036,https://github.com/newrelic/node-newrelic/issues/3036,Not Checked,
3046,https://github.com/newrelic/node-newrelic/pull/3046,3045,https://github.com/newrelic/node-newrelic/issues/3045,Not Checked,
3033,https://github.com/newrelic/node-newrelic/pull/3033,3024,https://github.com/newrelic/node-newrelic/issues/3024,Not Checked,
3021,https://github.com/newrelic/node-newrelic/pull/3021,2995,https://github.com/newrelic/node-newrelic/issues/2995,Not Checked,
3017,https://github.com/newrelic/node-newrelic/pull/3017,2996,https://github.com/newrelic/node-newrelic/issues/2996,Not Checked,
3009,https://github.com/newrelic/node-newrelic/pull/3009,2991,https://github.com/newrelic/node-newrelic/issues/2991,Not Checked,
3010,https://github.com/newrelic/node-newrelic/pull/3010,3001,https://github.com/newrelic/node-newrelic/issues/3001,Not Checked,
2985,https://github.com/newrelic/node-newrelic/pull/2985,2963,https://github.com/newrelic/node-newrelic/issues/2963,Not Checked,
2955,https://github.com/newrelic/node-newrelic/pull/2955,2931,https://github.com/newrelic/node-newrelic/issues/2931,Not Checked,
2962,https://github.com/newrelic/node-newrelic/pull/2962,2960,https://github.com/newrelic/node-newrelic/issues/2960,Not Checked,
2958,https://github.com/newrelic/node-newrelic/pull/2958,2662,https://github.com/newrelic/node-newrelic/issues/2662,Not Checked,
2957,https://github.com/newrelic/node-newrelic/pull/2957,2932,https://github.com/newrelic/node-newrelic/issues/2932,Not Checked,
2956,https://github.com/newrelic/node-newrelic/pull/2956,2954,https://github.com/newrelic/node-newrelic/issues/2954,Not Checked,
2938,https://github.com/newrelic/node-newrelic/pull/2938,2929,https://github.com/newrelic/node-newrelic/issues/2929,Not Checked,
2947,https://github.com/newrelic/node-newrelic/pull/2947,2937,https://github.com/newrelic/node-newrelic/issues/2937,Not Checked,
2940,https://github.com/newrelic/node-newrelic/pull/2940,2936,https://github.com/newrelic/node-newrelic/issues/2936,Not Checked,
2928,https://github.com/newrelic/node-newrelic/pull/2928,2925,https://github.com/newrelic/node-newrelic/issues/2925,Not Checked,
2927,https://github.com/newrelic/node-newrelic/pull/2927,2926,https://github.com/newrelic/node-newrelic/issues/2926,Not Checked,
2803,https://github.com/newrelic/node-newrelic/pull/2803,2795,https://github.com/newrelic/node-newrelic/issues/2795,Not Checked,
2811,https://github.com/newrelic/node-newrelic/pull/2811,2810,https://github.com/newrelic/node-newrelic/issues/2810,Not Checked,
2841,https://github.com/newrelic/node-newrelic/pull/2841,2838,https://github.com/newrelic/node-newrelic/issues/2838,Not Checked,
2884,https://github.com/newrelic/node-newrelic/pull/2884,2881,https://github.com/newrelic/node-newrelic/issues/2881,Not Checked,
2863,https://github.com/newrelic/node-newrelic/pull/2863,2857,https://github.com/newrelic/node-newrelic/issues/2857,Not Checked,
2850,https://github.com/newrelic/node-newrelic/pull/2850,2849,https://github.com/newrelic/node-newrelic/issues/2849,Not Checked,
2845,https://github.com/newrelic/node-newrelic/pull/2845,2829,https://github.com/newrelic/node-newrelic/issues/2829,Not Checked,
2840,https://github.com/newrelic/node-newrelic/pull/2840,2652,https://github.com/newrelic/node-newrelic/issues/2652,Not Checked,
2839,https://github.com/newrelic/node-newrelic/pull/2839,2650,https://github.com/newrelic/node-newrelic/issues/2650,Not Checked,
2825,https://github.com/newrelic/node-newrelic/pull/2825,2824,https://github.com/newrelic/node-newrelic/issues/2824,Not Checked,
2820,https://github.com/newrelic/node-newrelic/pull/2820,2647,https://github.com/newrelic/node-newrelic/issues/2647,Not Checked,
2794,https://github.com/newrelic/node-newrelic/pull/2794,2793,https://github.com/newrelic/node-newrelic/issues/2793,Not Checked,
2787,https://github.com/newrelic/node-newrelic/pull/2787,2764,https://github.com/newrelic/node-newrelic/issues/2764,Not Checked,
2783,https://github.com/newrelic/node-newrelic/pull/2783,2760,https://github.com/newrelic/node-newrelic/issues/2760,Not Checked,
2784,https://github.com/newrelic/node-newrelic/pull/2784,2762,https://github.com/newrelic/node-newrelic/issues/2762,Not Checked,
2782,https://github.com/newrelic/node-newrelic/pull/2782,2766,https://github.com/newrelic/node-newrelic/issues/2766,Not Checked,
2781,https://github.com/newrelic/node-newrelic/pull/2781,2761,https://github.com/newrelic/node-newrelic/issues/2761,Not Checked,
2777,https://github.com/newrelic/node-newrelic/pull/2777,2767,https://github.com/newrelic/node-newrelic/issues/2767,Not Checked,
2771,https://github.com/newrelic/node-newrelic/pull/2771,2756,https://github.com/newrelic/node-newrelic/issues/2756,Not Checked,
2773,https://github.com/newrelic/node-newrelic/pull/2773,2734,https://github.com/newrelic/node-newrelic/issues/2734,Not Checked,
2752,https://github.com/newrelic/node-newrelic/pull/2752,2731,https://github.com/newrelic/node-newrelic/issues/2731,Not Checked,
2743,https://github.com/newrelic/node-newrelic/pull/2743,2716,https://github.com/newrelic/node-newrelic/issues/2716,Not Checked,
2749,https://github.com/newrelic/node-newrelic/pull/2749,2732,https://github.com/newrelic/node-newrelic/issues/2732,Not Checked,
2746,https://github.com/newrelic/node-newrelic/pull/2746,2730,https://github.com/newrelic/node-newrelic/issues/2730,Not Checked,
2744,https://github.com/newrelic/node-newrelic/pull/2744,2733,https://github.com/newrelic/node-newrelic/issues/2733,Not Checked,
2738,https://github.com/newrelic/node-newrelic/pull/2738,2628,https://github.com/newrelic/node-newrelic/issues/2628,Not Checked,
2736,https://github.com/newrelic/node-newrelic/pull/2736,2735,https://github.com/newrelic/node-newrelic/issues/2735,Not Checked,
2725,https://github.com/newrelic/node-newrelic/pull/2725,2686,https://github.com/newrelic/node-newrelic/issues/2686,Not Checked,
2723,https://github.com/newrelic/node-newrelic/pull/2723,2684,https://github.com/newrelic/node-newrelic/issues/2684,Not Checked,
2722,https://github.com/newrelic/node-newrelic/pull/2722,2685,https://github.com/newrelic/node-newrelic/issues/2685,Not Checked,
2717,https://github.com/newrelic/node-newrelic/pull/2717,2696,https://github.com/newrelic/node-newrelic/issues/2696,Not Checked,
2701,https://github.com/newrelic/node-newrelic/pull/2701,2697,https://github.com/newrelic/node-newrelic/issues/2697,Not Checked,
2711,https://github.com/newrelic/node-newrelic/pull/2711,2683,https://github.com/newrelic/node-newrelic/issues/2683,Not Checked,
